Italy,Spain,France,Germany,England,Championship,Belgium,Netherlands,Austria,Brazil,Scotland,USA,Portugal
 Napoli, Barcelona, PSG, Bayern Munich, Manchester City, Burnley, Antwerp, Feyenoord, RB Salzburg,Botafogo,Celtic,DC United,Porto
 Lazio, Real Madrid, Lens, Dortmund, Arsenal, Sheffield United, Genk,Eindhoven, Sturm Graz,Palmeiras,Rangers,LAFC,Sporting
 Inter Milan, Atlético Madrid, Marseille, RB Leipzig, Manchester United, Luton , Union Saint-Gilloise, Ajax, LASK,Flamengo,Aberdeen,Miami,Benfica
AC Milan, Real Sociedad, Rennes, Union Berlin, Newcastle United, Middlesbrough, Club Brugge, AZ Alkmaar, Rapid Wien,Atlético Mineiro,Hearts,New York Red Bulls,Braga
 Atalanta, Villarreal, Lille, Freiburg, Liverpool, Coventry, Gent, Twente, Austria Wien,Fluminense,Hibernian,New York City FC,Gil Vicente
 Roma, Betis, Monaco,Bayer Leverkusen, Brighton, Sunderland, Cercle Brugge, Sparta Rotterdam, SK Austria Klagenfurt,Grêmio,St. Mirren,Orlando,Vitória 
 Juventus, Osasuna, Lyon,Eintracht Frankfurt, Aston Villa, Blackburn, Westerlo, Utrecht, Wolfsberger AC,Athletico PR,Motherwell,,Santa Clara
 Fiorentina, Athletic Club, Clermont Foot, Wolfsburg, Tottenham, Millwall, Standard Liège, Heerenveen, SC Austria Lustenau,São Paulo,Livingston,,Famalicão
 Bologna, Mallorca, Nice, Mainz 05, Brentford, West Brom, Charleroi, RKC Waalwijk, WSG Tirol,Cruzeiro,St. Johnstone,,Estoril
 Torino, Girona, Lorient,Borussia Mönchengladbach, Fulham, Swansea, OH Leuven, Vitesse, Hartberg,Internacional,Kilmarnock,,Marítimo
 Monza, Rayo Vallecano, Reims, Köln, Crystal Palace, Watford, Anderlecht, Go Ahead Eag, SCR Altach,Fortaleza,Ross County,,Paços
 Udinese, Sevilla, Montpellier, Hoffenheim, Chelsea, Preston, Sint-Truiden, NEC Nijmegen, Ried,Bragantino,Dundee United,,Boavista
 Sassuolo, Celta Vigo, Toulouse, Werder Bremen, Wolves, Norwich, Mechelen, Fortuna Sittard,,Santos,,,Portimonense
 Empoli, Cádiz, Brest, Bochum, West Ham, Bristol, Kortrijk, Volendam,,Cuiabá,,,Vizela
 Salernitana, Getafe, Strasbourg, Augsburg, Bournemouth, Hull, Eupen, Excelsior,,Bahia,,,Arouca
 Lecce, Valencia, Nantes, Stuttgart, Nottingham Forest, Stoke, Oostende, Emmen,,Corinthians,,,Moreirense
 Spezia, Almería, Auxerre,Hertha, Everton, Birmingham, Zulte Waregem, Cambuur,,Goiás,,,Tondela
 Hellas Verona, Valladolid, Ajaccio,Schalke, Leeds, Huddersfield, R.F.C. Seraing, Groningen,,América Mineiro,,,
 Cremonese, Espanyol, Troyes,, Southampton, Rotherham,Club Bruges,,,Vasco da Gama,,,
 Sampdoria, Elche, Angers,,Forest, QPR,,,,Coritiba,,,
Venezia,,Paris St-Germain,,Leicester, Cardiff,,,,,,,
,,Saint-Etienne,,, Reading,,,,,,,
,,,,, Blackpool,,,,,,,
,,,,, Wigan,,,,,,,
,,,,,Barnsley,,,,,,,
